"filename", "language", "HTML", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\CadastrarEmpresas.htm", "HTML", 35, 0, 0, 0, 0, 13, 48
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\Cadastro.htm", "HTML", 63, 0, 0, 0, 0, 1, 64
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\Chat.html", "HTML", 12, 0, 0, 0, 0, 1, 13
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\Home.htm", "HTML", 53, 0, 0, 0, 0, 0, 53
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\Login.htm", "HTML", 38, 0, 0, 0, 1, 4, 43
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\Match.htm", "HTML", 24, 0, 0, 0, 0, 0, 24
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\Settings.htm", "HTML", 29, 0, 0, 0, 0, 3, 32
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\Usuarios.htm", "HTML", 21, 0, 0, 0, 0, 0, 21
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\copaniatize.htm", "HTML", 45, 0, 0, 0, 0, 7, 52
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\enviarImagem.htm", "HTML", 51, 0, 0, 0, 0, 8, 59
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\escravinhos.htm", "HTML", 38, 0, 0, 0, 0, 5, 43
"c:\Users\vinicius.902120\Desktop\TCC\Host\Pages\input.htm", "HTML", 22, 0, 0, 0, 0, 1, 23
"c:\Users\vinicius.902120\Desktop\TCC\Host\css\Cadastro.css", "CSS", 0, 0, 0, 155, 0, 2, 157
"c:\Users\vinicius.902120\Desktop\TCC\Host\css\CadastroEmpresas.css", "CSS", 0, 0, 0, 22, 0, 5, 27
"c:\Users\vinicius.902120\Desktop\TCC\Host\css\Chat.css", "CSS", 0, 0, 0, 257, 0, 6, 263
"c:\Users\vinicius.902120\Desktop\TCC\Host\css\Home.css", "CSS", 0, 0, 0, 119, 0, 10, 129
"c:\Users\vinicius.902120\Desktop\TCC\Host\css\Login.css", "CSS", 0, 0, 0, 236, 0, 32, 268
"c:\Users\vinicius.902120\Desktop\TCC\Host\css\Settings.css", "CSS", 0, 0, 0, 51, 0, 11, 62
"c:\Users\vinicius.902120\Desktop\TCC\Host\css\Usuarios.css", "CSS", 0, 0, 0, 277, 0, 15, 292
"c:\Users\vinicius.902120\Desktop\TCC\Host\css\escravinhos.css", "CSS", 0, 0, 0, 3, 0, 3, 6
"c:\Users\vinicius.902120\Desktop\TCC\Host\css\style.css", "CSS", 0, 0, 0, 38, 0, 5, 43
"c:\Users\vinicius.902120\Desktop\TCC\Host\css\styles.css", "CSS", 0, 0, 0, 89, 0, 11, 100
"c:\Users\vinicius.902120\Desktop\TCC\Host\js\Chat.js", "JavaScript", 0, 0, 224, 0, 45, 70, 339
"c:\Users\vinicius.902120\Desktop\TCC\Host\js\Home.js", "JavaScript", 0, 0, 6, 0, 0, 0, 6
"c:\Users\vinicius.902120\Desktop\TCC\Host\js\ScriptDados.js", "JavaScript", 0, 0, 36, 0, 0, 12, 48
"c:\Users\vinicius.902120\Desktop\TCC\Host\js\Settings.js", "JavaScript", 0, 0, 67, 0, 10, 21, 98
"c:\Users\vinicius.902120\Desktop\TCC\Host\js\Usuarios.js", "JavaScript", 0, 0, 316, 0, 21, 57, 394
"c:\Users\vinicius.902120\Desktop\TCC\Host\js\script.js", "JavaScript", 0, 0, 37, 0, 0, 9, 46
"c:\Users\vinicius.902120\Desktop\TCC\Host\js\scriptCadastro.js", "JavaScript", 0, 0, 101, 0, 5, 17, 123
"c:\Users\vinicius.902120\Desktop\TCC\Host\js\scriptLogin.js", "JavaScript", 0, 0, 65, 0, 18, 12, 95
"c:\Users\vinicius.902120\Desktop\TCC\Host\js\scriptUsers.js", "JavaScript", 0, 0, 64, 0, 4, 12, 80
"c:\Users\vinicius.902120\Desktop\TCC\firebase.json", "JSON", 0, 7, 0, 0, 22, 0, 29
"Total", "-", 431, 7, 916, 1247, 126, 353, 3080
